D,V
1446.602,47.842
1446.905,47.881
1447.209,21.030
1447.512,20.990
1447.816,48.158
1448.119,20.792
1448.422,20.792
1448.726,48.317
1449.029,21.069
1449.333,48.356
1449.636,20.792
1449.939,21.030
1450.243,48.277
1450.546,21.069
1450.850,21.267
1451.153,48.158
1451.456,30.970
1451.760,20.990
1452.063,48.119
1452.367,21.347
1452.670,21.228
1452.973,48.079
1453.277,20.792
1453.580,21.069
1453.883,20.911
1454.187,21.030
1454.490,21.545
1454.794,48.158
1455.097,21.267
1455.400,21.228
1455.704,21.545
1456.007,20.832
1456.311,30.931
1456.614,21.307
1456.917,20.752
1457.221,20.317
1457.524,48.198
1457.828,20.436
1458.131,48.198
1458.434,30.970
1458.738,20.040
1459.041,20.040
1459.345,20.040
1459.648,20.079
1459.951,48.238
1460.255,48.238
1460.558,20.040
1460.862,20.436
1461.165,20.119
1461.468,48.158
1461.772,20.594
1462.075,20.475
1462.379,20.594
1462.682,48.158
1462.985,48.158
1463.289,20.554
1463.592,20.475
1463.896,20.713
1464.199,20.317
1464.502,19.881
1464.806,31.050
1465.109,19.723
1465.413,19.564
1465.716,48.277
1466.019,19.762
1466.323,20.475
1466.626,20.238
1466.930,20.792
1467.233,48.475
1467.536,48.594
1467.840,20.475
1468.143,48.752
1468.447,48.792
1468.750,48.871
1469.053,20.079
1469.357,20.040
1469.660,49.030
1469.964,49.228
1470.267,20.158
1470.570,20.475
